sentence_id,lang,ko_source,comet_diff,labse_diff,pipeline_score,pipeline_labse_sim,nllb_baseline_mt,target_term,candidate,provider,sense_id,n_senses,nllb_consistency_labse,repaired_mt,repaired_comet_score,repaired_labse_sim,comet_up,labse_up,verdict,reason
KO-FIN-01490,mya_Mymr,보증사채의 조건과 수익 구조를 확인하고 싶습니다.,-0.1855673789978027,-0.0845733880996704,0.6426352262496948,0.7955540418624878,အာမခံစာချုပ်ရဲ့ စည်းကမ်းချက်တွေနဲ့ ဝင်ငွေ တည်ဆောက်ပုံကို စစ်ဆေးချင်တယ်။,보증사채,အာမခံဘဏ္ဍာကြေး,groq,862,1,0.3050239086151123,အာမခံဘဏ္ဍာကြေး ရဲ့ အခြေအနေနဲ့ ဝင်ငွေ တည်ဆောက်ပုံကို စစ်ဆေးချင်ပါတယ်။,0.7336336970329285,0.8818450570106506,True,True,approved,
KO-FIN-00619,mya_Mymr,근저당을 이용할 때 필요한 서류는 무엇인가요?,-0.1850819587707519,-0.14476078748703,0.5512850880622864,0.640703022480011,အခြေခံအဆောက်အအုံကို သုံးဖို့ လိုအပ်တဲ့ စာရွက်စာတမ်းတွေက ဘာတွေလဲ။,근저당,အလွှာအခွင့်အရေး,groq,1115,1,0.09684517979621887,အလွှာအခွင့်အရေး ကို အသုံးပြုဖို့ လိုအပ်တဲ့ စာရွက်စာတမ်းတွေက ဘာတွေလဲ။,0.6983139514923096,0.8241162300109863,True,True,approved,
KO-FIN-01569,tgl_Latn,부실채권정리기금채권이 무엇인지 설명해 주세요.,-0.1835070550441742,-0.1487076878547668,0.4872148334980011,0.7570627331733704,Ipaliwanag sa akin kung ano ang mga utang ng insolvency fund.,부실채권정리기금채권,obligasyon ng pondo para sa pag-aayos ng hindi nababayarang pautang,groq,150,1,0.5532729625701904,Ipaliwanag mo kung ano ang obligasyon ng pondo para sa pag-aayos ng hindi nababayarang pautang.,0.480785071849823,,False,False,abstain,comet_up=False (LaBSE 생략)
KO-FIN-02199,mya_Mymr,쌍방연계방식과 관련된 내용을 확인하고 싶습니다.,-0.1734414100646972,-0.0218847393989563,0.6001058220863342,0.7093148231506348,နှစ်ဖက်ဆက်သွယ်မှုပုံစံနဲ့ ပတ်သက်တဲ့ အချက်အလက်တွေကို ကြည့်ချင်ပါတယ်။,쌍방연계방식,နှစ်ဖက်ဆက်သွယ်မှုနည်းလမ်း,groq,486,1,0.5726410150527954,နှစ်ဖက်ဆက်သွယ်မှုနည်းလမ်း နဲ့ ပတ်သက်တဲ့ အကြောင်းအရာတွေကို စစ်ဆေးချင်ပါတယ်။,0.7904797196388245,0.7161908745765686,True,True,approved,
KO-FIN-03037,mya_Mymr,정시상환이 무엇인지 설명해 주세요.,-0.1706293225288391,-0.2702418565750122,0.5144421458244324,0.4881508946418762,အချိန်နဲ့တပြေးညီ ပြောင်းလဲမှုဆိုတာ ဘာလဲဆိုတာ ရှင်းပြပေးပါဦး။,정시상환,အချိန်မီ ပြန်လည်ပေးချေမှု,groq,989,1,0.3144996166229248,အချိန်မီ ပြန်လည်ပေးချေမှု ဆိုတာ ဘာလဲဆိုတာ ရှင်းပြပေးပါဦး။,0.7088149785995483,0.7208186388015747,True,True,approved,
KO-FIN-04131,mya_Mymr,혼합주와 관련해 투자 전에 확인해야 할 사항이 있나요?,-0.1674028038978576,-0.039935827255249,0.5570427179336548,0.8038699626922607,ရင်းနှီးမြှုပ်နှံမှု မလုပ်ခင် မိတ်ဖက် ရှယ်ယာရှင်တွေနဲ့ ပတ်သက်ပြီး စစ်ဆေးဖို့လိုတာ တစ်ခုခုရှိလား။,혼합주,ပေါင်းစပ် အစုရှယ်ယာ,groq,1201,1,0.23281727731227875,ပေါင်းစပ် အစုရှယ်ယာ နဲ့ပတ်သက်ပြီး ရင်းနှီးမြှုပ်နှံမှု မလုပ်ခင် သေချာဖို့ အချက်တွေရှိလား။,0.7620260715484619,0.8516941070556641,True,True,approved,
KO-FIN-00193,mya_Mymr,결제순서조작이 무엇인지 설명해 주세요.,-0.1522170901298523,-0.3065415024757385,0.5331606268882751,0.5456610321998596,ငွေပေးချေမှု စနစ်က ဘာလဲဆိုတာ ရှင်းပြပေးပါ။,결제순서조작,ပေးချေမှု အစီအစဉ် ပြုပြင်ခြင်း,groq,396,1,0.5001965761184692,ပေးချေမှု အစီအစဉ် ပြုပြင်ခြင်း ဆိုတာ ဘာလဲဆိုတာ ရှင်းပြပေးပါဦး။,0.6515252590179443,0.7945890426635742,True,True,approved,
KO-FIN-00609,mya_Mymr,규정재정이 금융거래에 어떻게 적용되나요?,-0.1477627158164978,-0.112610638141632,0.6659654378890991,0.7985455989837646,စည်းမျဉ်းစည်းကမ်းတွေဟာ ငွေကြေး ကုန်သွယ်မှုမှာ ဘယ်လို အသုံးဝင်လဲ။,규정재정,စည်းမျဉ်းအခွင့်အလမ်း,groq,788,1,0.3259508013725281,ဒါကို ငွေကြေး ကုန်သွယ်မှုမှာ ဘယ်လို အသုံးချလဲ။,0.6659654974937439,0.7985454797744751,True,False,abstain,labse_up=False
KO-FIN-00863,tgl_Latn,내부수익률과 관련된 투자 정보를 확인하고 싶습니다.,-0.1416699290275573,-0.0776855945587158,0.5775668621063232,0.9002043008804321,Gusto kong suriin ang impormasyon sa pamumuhunan na may kinalaman sa internal rate of return.,내부수익률,panloob na rate ng kita,groq,604,1,0.6047362685203552,Gusto kong suriin ang impormasyon ng pamumuhunan na nauugnay sa panloob na rate ng kita.,0.6403616666793823,0.9162617325782776,True,True,approved,
KO-FIN-04027,tgl_Latn,할인발행과 관련된 비용과 절차를 확인하고 싶습니다.,-0.1368962526321411,-0.0635086894035339,0.6336804628372192,0.8690942525863647,Gusto kong suriin ang mga gastos at pamamaraan na nauugnay sa pagbubukas ng diskwento.,할인발행,pag‑isyu ng diskwento,groq,1062,1,0.3371163606643677,Gusto kong suriin ang mga gastos at pamamaraan na nauugnay sa pag‑isyu ng diskwento.,0.8705000877380371,0.9615317583084106,True,True,approved,
KO-FIN-03455,tgl_Latn,차금결제 과정에서 문제가 발생한 것 같습니다.,-0.1345481872558593,-0.0519694685935974,0.5800989866256714,0.7338082790374756,Parang may problema sa pagbabayad ng utang.,차금결제,bayad sa salapi,groq,1022,1,0.450547456741333,Mukhang may problema sa bayad sa salapi.,0.5759488344192505,,False,False,abstain,comet_up=False (LaBSE 생략)
KO-FIN-02702,tgl_Latn,이표채의 조건과 수익 구조를 확인하고 싶습니다.,-0.1288875341415405,-0.0390155315399169,0.5193527936935425,0.8607516288757324,Gusto kong malaman kung ano ang mga kondisyon ng utang na ito at ang istraktura ng kita.,이표채,bonong may kupon,groq,1169,1,0.14531338214874268,Gusto kong suriin ang mga kondisyon at istraktura ng kita ng bonong may kupon.,0.6101167798042297,0.9092814922332764,True,True,approved,
KO-FIN-02389,tgl_Latn,외국보관기관이 무엇인지 설명해 주세요.,-0.1266373395919799,-0.0440806150436401,0.5217732191085815,0.8444055318832397,Ipaliwanag sa akin kung ano ang Foreign Service.,외국보관기관,dayuhang institusyon ng kustodiya,groq,492,1,0.37641292810440063,Ipaliwanag mo kung ano ang dayuhang institusyon ng kustodiya.,0.5453633069992065,0.8807302117347717,True,True,approved,
KO-FIN-00275,mya_Mymr,계약형투자신탁에 가입하기 전에 어떤 점을 확인해야 하나요?,-0.125011920928955,-0.0944687128067016,0.5626775026321411,0.7936587333679199,ချုပ်ဆိုထားတဲ့ ရင်းနှီးမြှုပ်နှံမှုအဖွဲ့ကို မဝင်ခင် ဘယ်အချက်တွေကို စစ်ဆေးသင့်လဲ။,계약형투자신탁,စာချုပ်ပုံစံ ရင်းနှီးမြှုပ်နှံမှု အထောက်အထား,groq,308,1,0.4105882942676544,စာချုပ်ပုံစံ ရင်းနှီးမြှုပ်နှံမှု အထောက်အထား ကို မဝင်ခင် ဘယ်အချက်တွေကို စစ်ဆေးသင့်လဲ။,0.6342200040817261,0.9341950416564941,True,True,approved,
KO-FIN-03856,tgl_Latn,특별인출권과 관련된 거래에서는 국가별 규정과 통화를 함께 확인해야 합니다.,-0.1237586736679077,-0.0965205430984497,0.593017578125,0.8107587695121765,"Sa mga transaksyon na may kinalaman sa mga espesyal na karapatan, kailangan mong i-verify ang mga panuntunan ng bansa at ang pera.",특별인출권,Espesyal na Karapatan sa Pagkuha,groq,719,1,0.3694697618484497,"Sa mga transaksyon na nauugnay sa Espesyal na Karapatan sa Pagkuha, dapat mong suriin ang mga panuntunan ng bansa at pera.",0.6934390068054199,0.9657744765281677,True,True,approved,
KO-FIN-00939,mya_Mymr,단위형 투자신탁에 가입하기 전에 어떤 점을 확인해야 하나요?,-0.1229770183563232,-0.1083119511604309,0.7463399171829224,0.8162592053413391,Unitary Investment Trust မှာ မဝင်ခင် ဘယ်အချက်တွေကို စစ်ဆေးသင့်လဲ။,단위형 투자신탁,ယူနစ်ထရပ်,groq,243,1,0.2536405324935913,ယူနစ်ထရပ် ကို မဝင်ခင် ဘယ်အချက်တွေကို စစ်ဆေးသင့်လဲ။,0.6668359041213989,,False,False,abstain,comet_up=False (LaBSE 생략)
KO-FIN-04026,tgl_Latn,할인발행을 이용하려면 어떤 조건이 필요한가요?,-0.1175668239593505,-0.0340425968170166,0.7185676693916321,0.844165563583374,Ano ang mga kundisyon para magamit ang diskwento?,할인발행,pag‑isyu ng diskwento,groq,1062,1,0.5079677104949951,Ano ang mga kundisyon para magamit ang pag‑isyu ng diskwento?,0.750713050365448,0.9181880950927734,True,True,approved,
KO-FIN-02540,mya_Mymr,유동화 중개기관은 심사 결과에 따라 이용 가능 여부가 달라질 수 있습니다.,-0.1154695749282836,-0.0395980477333068,0.528186559677124,0.5285975337028503,liquidity brokerage တွေဟာ သုံးစွဲမှုအပေါ် မူတည်ပြီး ကွဲပြားနိုင်ပါတယ်။,유동화 중개기관,အထူးရည်ရွယ်ထားသောကုမ္ပဏီ,groq,260,1,0.1412046253681183,အထူးရည်ရွယ်ထားသောကုမ္ပဏီ က သုံးစွဲမှုအပေါ် မူတည်ပြီး ပြောင်းလဲနိုင်ပါတယ်။,0.5307032465934753,0.4783838391304016,True,False,abstain,labse_up=False
KO-FIN-00193,tgl_Latn,결제순서조작이 무엇인지 설명해 주세요.,-0.1145414113998413,-0.0533418655395507,0.446486234664917,0.7527161836624146,Ipaliwanag sa akin kung ano ang pag-aayos ng pagbabayad.,결제순서조작,manipulasyon ng pagkakasunod-sunod ng bayad,groq,396,1,0.5147172212600708,Ipaliwanag mo kung ano ang manipulasyon ng pagkakasunod-sunod ng bayad.,0.5067802667617798,0.9244237542152405,True,True,approved,
KO-FIN-02254,mya_Mymr,역금리와 관련된 거래 조건을 확인하고 싶습니다.,-0.1115452647209167,-0.4726502299308777,0.5428686738014221,0.2440863251686096,ငွေလဲလှယ်နှုန်းနဲ့ ပတ်သက်တဲ့ ငွေလဲလှယ်မှု အခြေအနေတွေကို စစ်ဆေးချင်ပါတယ်။,역금리,အနုတ်အတိုးနှုန်း,groq,1154,1,0.22580909729003906,အနုတ်အတိုးနှုန်း နဲ့ ပတ်သက်တဲ့ ကုန်သွယ်မှု စည်းမျဉ်းတွေကို စစ်ဆေးချင်ပါတယ်။,0.6825419664382935,0.7949461936950684,True,True,approved,
KO-FIN-01561,tgl_Latn,부실채권 정리기금이 무엇인지 설명해 주세요.,-0.1093281209468841,-0.0572831630706787,0.4744864404201507,0.7629752159118652,Ipaliwanag sa akin kung ano ang disaster fund.,부실채권 정리기금,Pondo para sa Paglutas ng Masamang Utang,groq,189,1,0.19310317933559418,Ipaliwanag mo kung ano ang Pondo para sa Paglutas ng Masamang Utang.,0.6346169710159302,0.8117230534553528,True,True,approved,
KO-FIN-00085,mya_Mymr,강세장이 무엇을 의미하나요?,-0.1089492440223693,-0.073490023612976,0.5539885759353638,0.5959248542785645,ခိုင်မာတဲ့ မြို့ကြီးဆိုတာက ဘာကိုဆိုလိုတာလဲ။,강세장,အမြင့်တက်စျေးကွက်,groq,1103,1,0.24997340142726898,အမြင့်တက်စျေးကွက် က ဘာကိုဆိုလိုတာလဲ။,0.7670891284942627,0.5513296723365784,True,False,abstain,labse_up=False
KO-FIN-05275,mya_Mymr,대출 상환일을 지나면 어떤 불이익이 있나요?,-0.1063219904899597,-0.1370511651039123,0.7193229794502258,0.679985761642456,ချေးငွေ ပြန်ဆပ်တဲ့နေ့လွန်ရင် ဘယ်လိုအကျိုးဆက်တွေရှိလဲ။,상환,အကြွေးပြန်ဆပ်ခြင်း,groq,1279,1,0.45842117071151733,ချေးငွေ အကြွေးပြန်ဆပ်ခြင်း ရက်လွန်ရင် ဘယ်လိုအကျိုးဆက်တွေရှိလဲ။,0.8004659414291382,0.812670111656189,True,True,approved,
KO-FIN-01569,mya_Mymr,부실채권정리기금채권이 무엇인지 설명해 주세요.,-0.1045525074005127,-0.0502945780754089,0.444360613822937,0.7479084134101868,ချေးငွေချေးငွေဆိုတာ ဘာလဲဆိုတာ ရှင်းပြပေးပါဦး။,부실채권정리기금채권,အကြွေးမကောင်း စီမံရေး ရန်ပုံငွေ အတိုး,groq,150,1,0.32919108867645264,အကြွေးမကောင်း စီမံရေး ရန်ပုံငွေ အတိုး ဆိုတာ ဘာလဲဆိုတာ ရှင်းပြပေးပါဦး။,0.5818982720375061,0.7173475027084351,True,False,abstain,labse_up=False
KO-FIN-02309,mya_Mymr,영시조항이 무엇을 의미하나요?,-0.10430508852005,-0.1124987006187439,0.52674400806427,0.5941510200500488,အင်္ဂလိပ်ဥပဒေက ဘာကိုဆိုလိုတာလဲ။,영시조항,အချိန်သုည စည်းမျဉ်း,groq,928,1,0.3275703191757202,အချိန်သုည စည်းမျဉ်း က ဘာကိုဆိုလိုတာလဲ။,0.5525851845741272,0.6974166035652161,True,True,approved,
KO-FIN-02661,tgl_Latn,이익잉여금이 무엇을 의미하나요?,-0.1011129021644592,-0.038589060306549,0.5570177435874939,0.8726840615272522,Ano ang ibig sabihin ng bonus sa kita?,이익잉여금,kinita na hindi pa naipamahagi,groq,672,1,0.1951083540916443,Ano ang ibig sabihin ng kinita na hindi pa naipamahagi?,0.4990208148956299,,False,False,abstain,comet_up=False (LaBSE 생략)
KO-FIN-03262,tgl_Latn,증권거래세와 관련된 시장 정보를 확인하고 싶습니다.,-0.1004680395126342,-0.0829397439956665,0.5403019189834595,0.8438814878463745,Gusto kong suriin ang impormasyon ng merkado tungkol sa buwis sa stock market.,증권거래세,buwis sa transaksyon ng mga securities,groq,694,1,0.47887206077575684,Gusto kong suriin ang impormasyon ng merkado na nauugnay sa buwis sa transaksyon ng mga securities.,0.768494725227356,0.9522327780723572,True,True,approved,
KO-FIN-01206,mya_Mymr,매매중지장치와 관련된 시장 정보를 확인하고 싶습니다.,-0.1003553867340087,-0.0867564678192138,0.5668923854827881,0.6438254117965698,စျေးကွက်ဆိုင်ရာ အချက်အလက်တွေကို ကြည့်ချင်ပါတယ်။,매매중지장치,စျေးကွက် အတားအဆီး,groq,449,1,0.431129515171051,စျေးကွက် အတားအဆီး နဲ့ ပတ်သက်တဲ့ စျေးကွက် အချက်အလက်တွေကို စစ်ဆေးချင်ပါတယ်။,0.5739244222640991,0.7372099161148071,True,True,approved,
KO-FIN-00867,tgl_Latn,내부유보와 관련해 투자 전에 확인해야 할 사항이 있나요?,-0.0990335941314697,-0.128911554813385,0.5278167128562927,0.7755377888679504,Mayroon bang mga bagay na dapat mong suriin bago mag-invest tungkol sa mga insider?,내부유보,pinag-iipong kita,groq,813,1,0.26600098609924316,Mayroon bang mga bagay na dapat mong suriin bago mamuhunan tungkol sa pinag-iipong kita?,0.5770378112792969,0.8300864696502686,True,True,approved,
KO-FIN-00164,tgl_Latn,결산은 기준 시점과 작성 기준을 함께 확인해야 합니다.,-0.0953847765922546,-0.0399698019027709,0.519334614276886,0.7381498217582703,Ang pagbabayad ay dapat kumpirmahin kasama ang mga pamantayan ng oras at ang mga pamantayan ng pagsulat.,결산,pagsasara ng mga libro,groq,1256,1,0.3274120092391968,Ang pagsasara ng mga libro ay dapat na i-verify kasama ang mga pamantayan ng oras at mga pamantayan ng pagsulat.,0.5293309688568115,0.7358332276344299,True,False,abstain,labse_up=False
KO-FIN-00483,tgl_Latn,국민주와 관련해 투자 전에 확인해야 할 사항이 있나요?,-0.0926081538200378,-0.0432273745536804,0.5191625356674194,0.8467439413070679,Mayroon bang mga bagay na dapat mong suriin bago mamuhunan tungkol sa mga shareholder?,국민주,stock ng mamamayan,groq,1112,1,0.42218017578125,Mayroon bang mga bagay na dapat mong suriin bago mamuhunan tungkol sa stock ng mamamayan?,0.5540745258331299,0.853577196598053,True,True,approved,
KO-FIN-02295,mya_Mymr,연속결제 과정에서 문제가 발생한 것 같습니다.,-0.0923656821250915,-0.1834441423416137,0.5478371977806091,0.6140453219413757,ဆက်တိုက်ဖြေရှင်းမှုမှာ ပြဿနာတစ်ခု ရှိပုံရတယ်။,연속결제,အဆက်မပြတ်ပေးချေမှု,groq,925,1,0.3184187710285187,အဆက်မပြတ်ပေးချေမှု လုပ်နေတုန်း ပြဿနာတစ်ခု ဖြစ်နေပုံရတယ်။,0.8288109302520752,0.7196468114852905,True,True,approved,
KO-FIN-00796,tgl_Latn,기본적분석의 결과는 사용한 가정과 시장 데이터에 따라 달라질 수 있습니다.,-0.0909590721130371,-0.049503743648529,0.7349992990493774,0.9099525213241576,Ang mga resulta ng pangunahing pag-aaral ay maaaring mag-iiba depende sa mga pang-aakala at data ng merkado na ginamit.,기본적분석,pundamental na pagsusuri,groq,600,1,0.3606676161289215,Ang mga resulta ng pundamental na pagsusuri ay maaaring mag-iiba depende sa mga pinag-aasang data at merkado na ginamit.,0.8096132278442383,0.9032405614852905,True,False,abstain,labse_up=False
