문장ID,원본용어번호,업무카테고리,관련카테고리,금융용어,용어성격,화자,발화유형,한국어 금융문장,생성구분,자연스러움,용어정확성,유사성,동일골격횟수,동일용어내최대유사도,최종판정,검수사유,자동수정안,재검수판정,재검수사유,최종사용문장
KO-FIN-00043,11,금융법규·감독,금융시장·거래,간접공시,행위·절차,고객,상담,간접공시 때문에 추가로 확인해야 할 사항이 있나요?,용어기반,양호,정확,낮음,15,0.44,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,간접공시 때문에 추가로 확인해야 할 사항이 있나요?
KO-FIN-00044,11,금융법규·감독,금융시장·거래,간접공시,행위·절차,금융기관,안내,간접공시의 적용 범위는 관련 법령과 규정에 따라 달라질 수 있습니다.,용어기반,양호,정확,낮음,15,0.516,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,간접공시의 적용 범위는 관련 법령과 규정에 따라 달라질 수 있습니다.
KO-FIN-00046,12,금융기관·은행,,간접금융,일반개념,고객,질문,간접금융에서 이용할 수 있는 금융업무는 무엇인가요?,용어기반,양호,정확,높음,40,0.406,수정 권장,유사 문장구조 반복(40회) 또는 동일 용어 내 유사도 높음,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,간접금융에서 이용할 수 있는 금융업무는 무엇인가요?
KO-FIN-00049,13,증권·예탁,,간접모집,일반개념,고객,질문,간접모집이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.511,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,간접모집이 무엇인지 설명해 주세요.
KO-FIN-00054,14,기업금융·자본조달,,간접발행,행위·절차,고객,상담,간접발행을 이용하려면 어떤 조건이 필요한가요?,용어기반,양호,정확,높음,25,0.318,수정 권장,유사 문장구조 반복(25회) 또는 동일 용어 내 유사도 높음,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,간접발행을 이용하려면 어떤 조건이 필요한가요?
KO-FIN-00055,14,기업금융·자본조달,,간접발행,행위·절차,고객,확인,간접발행과 관련된 비용과 절차를 확인하고 싶습니다.,용어기반,양호,정확,높음,25,0.485,수정 권장,유사 문장구조 반복(25회) 또는 동일 용어 내 유사도 높음,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,간접발행과 관련된 비용과 절차를 확인하고 싶습니다.
KO-FIN-00058,15,증권·예탁,법률·계약 / 금융법규·감독,간접점유,일반개념,고객,확인,간접점유 처리 절차를 확인하고 싶습니다.,용어기반,보통,정확,매우 높음,241,0.64,수정 권장,동일 문장구조가 241회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,간접점유 처리 절차를 확인하고 싶습니다.
KO-FIN-00064,16,금융시장·거래,,간접참가자,사람·역할,금융기관,안내,간접참가자을 확인할 때 시장 상황과 거래 조건을 함께 살펴보세요.,용어기반,미흡,정확(문법 수정),매우 높음,236,0.414,수정 권장,조사 오류: '간접참가자을' → '간접참가자를'; 동일 문장구조가 236회 반복,간접참가자를 확인할 때 시장 상황과 거래 조건을 함께 살펴보세요.,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 반복 골격이지만 용어별 대표 1문장으로 제한,간접참가자를 확인할 때 시장 상황과 거래 조건을 함께 살펴보세요.
KO-FIN-00066,17,증권·예탁,,간주,일반개념,고객,확인,간주 처리 절차를 확인하고 싶습니다.,용어기반,보통,정확,매우 높음,241,0.609,수정 권장,동일 문장구조가 241회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,간주 처리 절차를 확인하고 싶습니다.
KO-FIN-00069,18,금융시장·거래,,감리대상종목,일반개념,고객,질문,감리대상종목이 무엇을 의미하나요?,용어기반,보통,정확,매우 높음,303,0.634,유지(대표 1개만),동일 문장구조가 303회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,감리대상종목이 무엇을 의미하나요?
KO-FIN-00073,19,주식,,감자차익,일반개념,고객,질문,감자차익이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.372,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,감자차익이 무엇인지 설명해 주세요.
KO-FIN-00077,20,채권,,감채기금,일반개념,고객,질문,감채기금이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.348,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,감채기금이 무엇인지 설명해 주세요.
KO-FIN-00081,21,채권,,감채기금부채권,상품·증권,고객,질문,감채기금부채권이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.423,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,감채기금부채권이 무엇인지 설명해 주세요.
KO-FIN-00085,22,금융시장·거래,,강세장,일반개념,고객,질문,강세장이 무엇을 의미하나요?,용어기반,보통,정확,매우 높음,303,0.571,유지(대표 1개만),동일 문장구조가 303회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,강세장이 무엇을 의미하나요?
KO-FIN-00090,23,금융시장·거래,,강제매수,일반개념,고객,확인,강제매수과 관련된 시장 정보를 확인하고 싶습니다.,용어기반,미흡,정확(문법 수정),매우 높음,236,0.355,수정 권장,조사 오류: '강제매수과' → '강제매수와'; 동일 문장구조가 236회 반복,강제매수와 관련된 시장 정보를 확인하고 싶습니다.,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 반복 골격이지만 용어별 대표 1문장으로 제한,강제매수와 관련된 시장 정보를 확인하고 싶습니다.
KO-FIN-00095,24,펀드·신탁,,개발신탁,상품·증권,고객,상담,개발신탁에 가입하기 전에 어떤 점을 확인해야 하나요?,용어기반,양호,정확,높음,52,0.458,수정 권장,유사 문장구조 반복(52회) 또는 동일 용어 내 유사도 높음,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,개발신탁에 가입하기 전에 어떤 점을 확인해야 하나요?
KO-FIN-00098,25,채권,,개방식 담보사채,상품·증권,고객,확인,개방식 담보사채의 조건과 수익 구조를 확인하고 싶습니다.,용어기반,보통,정확,매우 높음,115,0.484,수정 권장,동일 문장구조가 115회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,개방식 담보사채의 조건과 수익 구조를 확인하고 싶습니다.
KO-FIN-00104,26,법률·계약,,개방형 리포,일반개념,금융기관,안내,개방형 리포의 적용 여부는 계약 내용과 관련 법령을 확인해야 합니다.,용어기반,양호,정확,높음,35,0.529,수정 권장,유사 문장구조 반복(35회) 또는 동일 용어 내 유사도 높음,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,개방형 리포의 적용 여부는 계약 내용과 관련 법령을 확인해야 합니다.
KO-FIN-00107,27,펀드·신탁,자산운용·투자,개방형 투자신탁,상품·증권,고객,상담,개방형 투자신탁에 가입하기 전에 어떤 점을 확인해야 하나요?,용어기반,양호,정확,높음,52,0.536,수정 권장,유사 문장구조 반복(52회) 또는 동일 용어 내 유사도 높음,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,개방형 투자신탁에 가입하기 전에 어떤 점을 확인해야 하나요?
KO-FIN-00111,28,지급결제·청산,,개별결제,행위·절차,고객,문제,개별결제 과정에서 문제가 발생한 것 같습니다.,용어기반,보통,정확,매우 높음,86,0.511,수정 권장,동일 문장구조가 86회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 과도한 유사성 낮음,개별결제 과정에서 문제가 발생한 것 같습니다.
KO-FIN-00114,29,금융시장·거래,,개별경쟁매매,행위·절차,고객,확인,개별경쟁매매과 관련된 시장 정보를 확인하고 싶습니다.,용어기반,미흡,정확(문법 수정),매우 높음,236,0.394,수정 권장,조사 오류: '개별경쟁매매과' → '개별경쟁매매와'; 동일 문장구조가 236회 반복,개별경쟁매매와 관련된 시장 정보를 확인하고 싶습니다.,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 반복 골격이지만 용어별 대표 1문장으로 제한,개별경쟁매매와 관련된 시장 정보를 확인하고 싶습니다.
KO-FIN-00117,30,파생상품,,개시증거금,일반개념,고객,질문,개시증거금이 무엇인지 쉽게 설명해 주세요.,용어기반,양호,정확,높음,53,0.383,유지(대표 1개만),유사 문장구조 반복(53회) 또는 동일 용어 내 유사도 높음,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,개시증거금이 무엇인지 쉽게 설명해 주세요.
KO-FIN-00121,31,금융시장·거래,,거래량비율,지표·개념,고객,질문,거래량비율이 무엇을 의미하나요?,용어기반,보통,정확,매우 높음,303,0.615,유지(대표 1개만),동일 문장구조가 303회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,거래량비율이 무엇을 의미하나요?
KO-FIN-00125,32,금융시장·거래,,거래량회전율,지표·개념,고객,질문,거래량회전율이 무엇을 의미하나요?,용어기반,보통,정확,매우 높음,303,0.634,유지(대표 1개만),동일 문장구조가 303회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,거래량회전율이 무엇을 의미하나요?
KO-FIN-00129,33,금융시장·거래,,거래성립률,지표·개념,고객,질문,거래성립률이 무엇을 의미하나요?,용어기반,보통,정확,매우 높음,303,0.615,유지(대표 1개만),동일 문장구조가 303회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,거래성립률이 무엇을 의미하나요?
KO-FIN-00133,34,금융시장·거래,,거래소 시장,시스템·인프라,고객,질문,거래소 시장이 무엇을 의미하나요?,용어기반,보통,정확,매우 높음,303,0.634,유지(대표 1개만),동일 문장구조가 303회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,거래소 시장이 무엇을 의미하나요?
KO-FIN-00137,35,금융시장·거래,,거래소 회원,일반개념,고객,질문,거래소 회원이 무엇을 의미하나요?,용어기반,보통,정확,매우 높음,303,0.634,유지(대표 1개만),동일 문장구조가 303회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,거래소 회원이 무엇을 의미하나요?
KO-FIN-00142,36,금융시장·거래,지급결제·청산,거래취소,일반개념,고객,확인,거래취소과 관련된 시장 정보를 확인하고 싶습니다.,용어기반,미흡,정확(문법 수정),매우 높음,236,0.355,수정 권장,조사 오류: '거래취소과' → '거래취소와'; 동일 문장구조가 236회 반복,거래취소와 관련된 시장 정보를 확인하고 싶습니다.,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 반복 골격이지만 용어별 대표 1문장으로 제한,거래취소와 관련된 시장 정보를 확인하고 싶습니다.
KO-FIN-00146,37,주식,,건설이자,사람·역할,고객,확인,건설이자과 관련된 정보를 확인하고 싶습니다.,용어기반,미흡,정확(문법 수정),매우 높음,183,0.516,수정 권장,조사 오류: '건설이자과' → '건설이자와'; 동일 문장구조가 183회 반복,건설이자와 관련된 정보를 확인하고 싶습니다.,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 반복 골격이지만 용어별 대표 1문장으로 제한,건설이자와 관련된 정보를 확인하고 싶습니다.
KO-FIN-00149,38,금융시장·거래,,겐사끼시장,시스템·인프라,고객,질문,겐사끼시장이 무엇을 의미하나요?,용어기반,보통,정확,매우 높음,303,0.615,유지(대표 1개만),동일 문장구조가 303회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,겐사끼시장이 무엇을 의미하나요?
KO-FIN-00154,39,금융시장·거래,,격탁매매,행위·절차,고객,확인,격탁매매과 관련된 시장 정보를 확인하고 싶습니다.,용어기반,미흡,정확(문법 수정),매우 높음,236,0.355,수정 권장,조사 오류: '격탁매매과' → '격탁매매와'; 동일 문장구조가 236회 반복,격탁매매와 관련된 시장 정보를 확인하고 싶습니다.,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 반복 골격이지만 용어별 대표 1문장으로 제한,격탁매매와 관련된 시장 정보를 확인하고 싶습니다.
KO-FIN-00157,40,증권·예탁,,견양증권,상품·증권,고객,질문,견양증권이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.511,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,견양증권이 무엇인지 설명해 주세요.
KO-FIN-00162,41,회계·재무,,결산,일반개념,고객,확인,결산을 통해 어떤 정보를 확인할 수 있나요?,용어기반,양호,정확,낮음,16,0.583,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,결산을 통해 어떤 정보를 확인할 수 있나요?
KO-FIN-00164,41,회계·재무,,결산,일반개념,금융기관,안내,결산은 기준 시점과 작성 기준을 함께 확인해야 합니다.,용어기반,양호,정확,낮음,16,0.296,유지,실제 금융 문맥에서 자연스럽고 용어 사용도 적절함,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,결산은 기준 시점과 작성 기준을 함께 확인해야 합니다.
KO-FIN-00168,42,회계·재무,,결산보고서,일반개념,금융기관,안내,결산보고서은 기준 시점과 작성 기준을 함께 확인해야 합니다.,용어기반,미흡,정확(문법 수정),낮음,16,0.367,수정 권장,조사 오류: '결산보고서은' → '결산보고서는',결산보고서는 기준 시점과 작성 기준을 함께 확인해야 합니다.,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 과도한 유사성 낮음,결산보고서는 기준 시점과 작성 기준을 함께 확인해야 합니다.
KO-FIN-00169,43,지급결제·청산,증권·예탁 / 금융시장·거래,결제기구,기관·조직,고객,질문,결제기구이 무엇인지 설명해 주세요.,용어기반,미흡,정확(문법 수정),매우 높음,705,0.511,수정 권장,조사 오류: '결제기구이' → '결제기구가'; 동일 문장구조가 705회 반복,결제기구가 무엇인지 설명해 주세요.,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 반복 골격이지만 용어별 대표 1문장으로 제한,결제기구가 무엇인지 설명해 주세요.
KO-FIN-00173,44,지급결제·청산,,결제기금,일반개념,고객,질문,결제기금이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.511,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,결제기금이 무엇인지 설명해 주세요.
KO-FIN-00177,45,지급결제·청산,금융기관·은행 / 증권·예탁,결제대금주선제도,법규·제도,고객,질문,결제대금주선제도이 무엇인지 설명해 주세요.,용어기반,미흡,정확(문법 수정),매우 높음,705,0.582,수정 권장,조사 오류: '결제대금주선제도이' → '결제대금주선제도가'; 동일 문장구조가 705회 반복,결제대금주선제도가 무엇인지 설명해 주세요.,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 반복 골격이지만 용어별 대표 1문장으로 제한,결제대금주선제도가 무엇인지 설명해 주세요.
KO-FIN-00181,46,지급결제·청산,증권·예탁,결제대용증,일반개념,고객,질문,결제대용증이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.531,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,결제대용증이 무엇인지 설명해 주세요.
KO-FIN-00185,47,지급결제·청산,신용·리스크 / 금융기관·은행,결제리스크 관리제도,법규·제도,고객,질문,결제리스크 관리제도이 무엇인지 설명해 주세요.,용어기반,미흡,정확(문법 수정),매우 높음,705,0.61,수정 권장,조사 오류: '결제리스크 관리제도이' → '결제리스크 관리제도가'; 동일 문장구조가 705회 반복,결제리스크 관리제도가 무엇인지 설명해 주세요.,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 반복 골격이지만 용어별 대표 1문장으로 제한,결제리스크 관리제도가 무엇인지 설명해 주세요.
KO-FIN-00191,48,지급결제·청산,금융시장·거래,결제불이행거래,행위·절차,고객,문제,결제불이행거래 과정에서 문제가 발생한 것 같습니다.,용어기반,보통,정확,매우 높음,86,0.566,수정 권장,동일 문장구조가 86회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 과도한 유사성 낮음,결제불이행거래 과정에서 문제가 발생한 것 같습니다.
KO-FIN-00193,49,지급결제·청산,,결제순서조작,일반개념,고객,질문,결제순서조작이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.549,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,결제순서조작이 무엇인지 설명해 주세요.
KO-FIN-00197,50,지급결제·청산,,결제시한,일반개념,고객,질문,결제시한이 무엇인지 설명해 주세요.,용어기반,보통,정확,중복,705,1,유지(대표 1개만),완전 동일 문장 2회,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,결제시한이 무엇인지 설명해 주세요.
KO-FIN-00205,52,지급결제·청산,신용·리스크 / 금융시장·거래,결제위험의 비대칭성,일반개념,고객,질문,결제위험의 비대칭성이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.61,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,결제위험의 비대칭성이 무엇인지 설명해 주세요.
KO-FIN-00209,53,지급결제·청산,금융기관·은행,결제은행제도,법규·제도,고객,질문,결제은행제도이 무엇인지 설명해 주세요.,용어기반,미흡,정확(문법 수정),매우 높음,705,0.549,수정 권장,조사 오류: '결제은행제도이' → '결제은행제도가'; 동일 문장구조가 705회 반복,결제은행제도가 무엇인지 설명해 주세요.,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 반복 골격이지만 용어별 대표 1문장으로 제한,결제은행제도가 무엇인지 설명해 주세요.
KO-FIN-00213,54,지급결제·청산,,결제일,일반개념,고객,질문,결제일이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.489,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,결제일이 무엇인지 설명해 주세요.
KO-FIN-00217,55,지급결제·청산,,결제적체현상,일반개념,고객,질문,결제적체현상이 무엇인지 설명해 주세요.,용어기반,보통,정확,매우 높음,705,0.549,유지(대표 1개만),동일 문장구조가 705회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,결제적체현상이 무엇인지 설명해 주세요.
KO-FIN-00221,56,금융시장·거래,지급결제·청산,결제전 예납,일반개념,고객,질문,결제전 예납이 무엇을 의미하나요?,용어기반,보통,정확,매우 높음,303,0.634,유지(대표 1개만),동일 문장구조가 303회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,결제전 예납이 무엇을 의미하나요?
KO-FIN-00225,57,지급결제·청산,,결제후 업무처리,일반개념,고객,질문,결제후 업무처리이 무엇인지 설명해 주세요.,용어기반,미흡,정확(문법 수정),중복,705,1,수정 권장,조사 오류: '결제후 업무처리이' → '결제후 업무처리가'; 완전 동일 문장 2회,결제후 업무처리가 무엇인지 설명해 주세요.,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 조사/문법을 자동수정안으로 교정; 반복 골격이지만 용어별 대표 1문장으로 제한,결제후 업무처리가 무엇인지 설명해 주세요.
KO-FIN-00234,59,금융기관·은행,,겸업주의,일반개념,고객,질문,겸업주의에서 이용할 수 있는 금융업무는 무엇인가요?,용어기반,양호,정확,높음,40,0.406,수정 권장,유사 문장구조 반복(40회) 또는 동일 용어 내 유사도 높음,,최종 유지,실제 금융 문맥에서 자연스러움; 금융용어 사용 적절; 과도한 유사성 낮음,겸업주의에서 이용할 수 있는 금융업무는 무엇인가요?
KO-FIN-00238,60,채권,증권·예탁 / 법률·계약 / 금융시장·거래,경개,일반개념,고객,확인,경개의 조건과 수익 구조를 확인하고 싶습니다.,용어기반,보통,정확,매우 높음,115,0.36,수정 권장,동일 문장구조가 115회 반복,,최종 유지,해당 용어 후보 중 상대적으로 가장 자연스러운 대표 문장; 금융용어 사용 적절; 반복 골격이지만 용어별 대표 1문장으로 제한,경개의 조건과 수익 구조를 확인하고 싶습니다.
