ko_term,match_priority,lang,term_text,back_translation_ko
계좌설정,776,vie_Latn,Cài đặt tài khoản,계정 설정
고객계좌부,582,vie_Latn,Sổ tài khoản khách hàng,고객 계좌 책
고객계좌자동이전서비스,107,vie_Latn,Dịch vụ chuyển đổi tài khoản khách hàng tự động,자동 고객 계정 전환 서비스
고객예탁금 이용료,178,vie_Latn,Phí sử dụng tiền ký quỹ của khách hàng,고객 보증금 사용 수수료
고객예탁분,583,vie_Latn,Số tiền ký quỹ của khách hàng,고객들의 보증금
고객예탁증권,402,vie_Latn,Chứng khoán ký quỹ của khách hàng,고객보증증권
고오든 모형,403,vie_Latn,Mô hình Gordon,고든 모델
고정형 투자신탁,227,vie_Latn,Quỹ đầu tư cố định,고정투자펀드
고정환율제도,404,vie_Latn,Chế độ tỷ giá hối đoái cố định,고정 환율 체제
골든 크로스,405,vie_Latn,Golden Cross,골든 크로스
공개/발성호가,309,vie_Latn,Công khai/Phát thanh,공개/방송
공개매수,777,vie_Latn,Chương trình mua lại cổ phiếu công khai,공개 주식 매수 프로그램
공개매수설명서,310,vie_Latn,Tài liệu giải thích về đợt mua lại công khai,공개 인수에 대한 설명 문서
공개매수신고서,311,vie_Latn,Thông báo chào mua công khai,공개 제안서
공개법인,778,vie_Latn,Tổ chức công,공공 조직
공개시장조작,406,vie_Latn,Các hoạt động can thiệp thị trường mở,오픈 마켓 개입 활동
공기업,1106,vie_Latn,Doanh nghiệp nhà nước,국영기업
공동간사회사,407,vie_Latn,Công ty đồng tổ chức,공동 주최 회사
공동대리,779,vie_Latn,Đại diện chung,공동 대표
공동지배인,584,vie_Latn,Người đồng quản lý,공동 관리자
공매도,1107,vie_Latn,Bán khống,사기꾼
공매수,1108,vie_Latn,Mua khống,사기꾼
공모,1259,vie_Latn,Cuộc thi,경연
공모부대서비스회사,179,vie_Latn,Công ty cung cấp dịch vụ hỗ trợ cho các đơn vị tham gia đấu thầu,입찰 유닛에 대한 지원 서비스를 제공하는 회사
공모증자,780,vie_Latn,Phát hành cổ phiếu ra công chúng,주식을 공개합니다.
공모채,1109,vie_Latn,Trái phiếu phát hành công khai,공개 발행 채권
공사채등록법,408,vie_Latn,Luật Đăng ký Trái phiếu Công ty,회사 채권 등록법
공사채형투자신탁,228,vie_Latn,Quỹ đầu tư trái phiếu doanh nghiệp,기업 채권 투자 기금
공시,1260,vie_Latn,Thông báo,알림
공시최고,781,vie_Latn,Thông báo chính thức,공식 발표
공신의 원칙,409,vie_Latn,Nguyên tắc công thần,공주의 원칙
공인중개인,585,vie_Latn,Môi giới bất động sản được cấp phép,허가를 받은 부동산 중개인
공정거래법,586,vie_Latn,Luật Cạnh tranh Công bằng,공정한 경쟁법
공정게임모형,410,vie_Latn,Mô hình trò chơi công bằng,공평한 게임 모델
공정할인율,587,vie_Latn,Tỷ lệ chiết khấu công bằng,공정한 할인율
공채,1261,vie_Latn,Tuyển dụng công khai,공개 채용
관계회사,782,vie_Latn,Công ty liên kết,연계 회사
관리대상종목,411,vie_Latn,Các mã chứng khoán thuộc diện giám sát,감시권에 속하는 증권 코드
관세 및 무역에 관한 일반협정,33,vie_Latn,Hiệp định chung về thuế quan và thương mại,관세와 무역에 관한 총협정
관할권,1110,vie_Latn,Thẩm quyền,권한
교차담보금제도,312,vie_Latn,Hệ thống thế chấp chéo,이중 모기지 시스템
교차증거금제도,313,vie_Latn,Hệ thống ký quỹ chéo,수직 기하계
교차헤징,783,vie_Latn,Phòng ngừa rủi ro chéo,크로스 리스크 예방
교체발행,784,vie_Latn,Phát hành thay thế,대체 배포
교환사채,785,vie_Latn,Trái phiếu hoán đổi,교환채권
구상권,1111,vie_Latn,Quyền đòi bồi thường,손해배상청구권
구주,1262,vie_Latn,Chúa Cứu Thế,구세주님
국가신인도,588,vie_Latn,Uy tín quốc gia,국가적 권위
국내장외거래,412,vie_Latn,Giao dịch ngoài sàn trong nước,국내에 있는 오프소스 거래
국민주,1112,vie_Latn,Báo Dân tộc,국민신문
국민주택채권,413,vie_Latn,Trái phiếu nhà ở quốc dân,국가 주택 채권
국민총생산,589,vie_Latn,Tổng sản phẩm quốc nội,국내총생산
국제간 거래,414,vie_Latn,Giao dịch quốc tế,국제 무역
국제간 대금지급,229,vie_Latn,Thanh toán quốc tế,국제 결제
국제간 대체결제,230,vie_Latn,Thanh toán thay thế quốc tế,국제 대안 결제
국제결제은행,415,vie_Latn,Ngân hàng Thanh toán Quốc tế,국제결제은행
국제결제은행규제,231,vie_Latn,Quy định của Ngân hàng Thanh toán Quốc tế,국제결제은행의 규정
국제금융공사,416,vie_Latn,Công ty Tài chính Quốc tế,국제금융회사
국제금융센타,417,vie_Latn,Trung tâm Tài chính Quốc tế,국제금융센터
국제금융시장,418,vie_Latn,Thị trường tài chính quốc tế,국제 금융 시장
국제보관기관,419,vie_Latn,Cơ quan lưu trữ quốc tế,국제 아카이브
국제부흥개발은행,232,vie_Latn,Ngân hàng Tái thiết và Phát triển Quốc tế,국제 재건개발은행
국제분산투자,420,vie_Latn,Đầu tư phân tán quốc tế,국제적으로 분산된 투자
국제유가증권관리자협회,108,vie_Latn,Hiệp hội Quản lý Chứng khoán Quốc tế,국제 증권 관리 협회
국제전문가시장,314,vie_Latn,Thị trường chuyên gia quốc tế,국제 전문 시장
국제정합성,590,vie_Latn,Tính nhất quán quốc tế,국제적인 일관성
국제증권,786,vie_Latn,Chứng khoán quốc tế,국제 증권
국제증권거래소연맹,180,vie_Latn,Liên đoàn các Sở giao dịch Chứng khoán Quốc tế,국제 증권거래소 연맹
국제증권관리위원회연맹,109,vie_Latn,Liên đoàn các Ủy ban Quản lý Chứng khoán Quốc tế,국제 증권 관리 위원회 연맹
국제증권예탁결제기관,141,vie_Latn,Tổ chức lưu ký và thanh toán chứng khoán quốc tế,국제 증권 보관 및 결제 기관
국제통화기금,421,vie_Latn,Quỹ Tiền tệ Quốc tế,국제통화기금
국제투자신탁,422,vie_Latn,Quỹ đầu tư quốc tế,국제투자기금
국채,1263,vie_Latn,Trái phiếu chính phủ,정부 채권
국채전문딜러,423,vie_Latn,Nhà giao dịch chuyên về trái phiếu chính phủ,정부 채권 거래자
국채집합등록제도,233,vie_Latn,Hệ thống đăng ký tập trung trái phiếu chính phủ,중앙 정부 채권 등록 시스템
권리락,1113,vie_Latn,Hạn chế quyền,권한 제한
권리락주가,591,vie_Latn,Cổ phiếu bị hạn chế quyền lợi,지분 제한 주식
권리예탁,787,vie_Latn,Lưu ký quyền sở hữu,소유권 기록
권리예탁계좌부,315,vie_Latn,Sổ đăng ký tài khoản lưu ký quyền sở hữu,소유권 계좌 등록기록
권리주,1114,vie_Latn,Chú thích về quyền tác giả,저는 저작권을 좋아합니다.
권종,1264,vie_Latn,Loại quyền,권한의 종류
규정재정,788,vie_Latn,Xây dựng quy định,규제를 만드는 것
그라함 도드모형,234,vie_Latn,Mô hình Graham-Dodds,그레이엄-도드스 모델
근저당,1115,vie_Latn,Thế chấp bất động sản,부동산에도 불구하고
글래머주식,592,vie_Latn,Cổ phiếu Glamour,글래머 주식
글래스 스티걸법,235,vie_Latn,Đạo luật Glass-Steagall,글래스 스티걸 법
글로벌 트레이딩,236,vie_Latn,Giao dịch toàn cầu,세계 무역
글로벌라이제이션,237,vie_Latn,Toàn cầu hóa,세계화
글로벌본드,593,vie_Latn,Trái phiếu toàn cầu,글로벌 채권
글로컬리제이션,316,vie_Latn,Toàn cầu hóa và địa phương hóa,세계화와 지역화
금고주,1116,vie_Latn,Cổ phiếu quỹ,펀드 주식
금리선물,789,vie_Latn,Hợp đồng kỳ hạn lãi suất,유가 기간 계약
금리선물옵션,424,vie_Latn,Quyền chọn hợp đồng tương lai lãi suất,유가 선물 옵션
금리스왑,790,vie_Latn,Hoán đổi lãi suất,이산화탄소
금리연동부사채,317,vie_Latn,Trái phiếu có lãi suất thả nổi,이자율이 낮은 채권
금리확정부사채,318,vie_Latn,Trái phiếu không có lãi suất cố định,고정금리 채권
금외신탁,791,vie_Latn,Quỹ ủy thác ngoài nước,해외 위탁기금
금융감독위원회/금융감독원,59,vie_Latn,Ủy ban Giám sát Tài chính/Cơ quan Giám sát Tài chính,금융감독위원회/금융감독원
금융결제원,594,vie_Latn,Trung tâm Thanh toán Tài chính,금융결제센터
금융공학,792,vie_Latn,Kỹ thuật tài chính,금융 기술
금융기관,793,vie_Latn,Tổ chức tài chính,금융 기관
금융리스,794,vie_Latn,Cho thuê tài chính,재정적 임대
금융비용,795,vie_Latn,Chi phí tài chính,재정적 비용
금융선물거래,425,vie_Latn,Giao dịch hợp đồng tương lai tài chính,금융 선물 거래
금융소득종합과세,238,vie_Latn,Đánh thuế tổng hợp đối với thu nhập từ hoạt động tài chính,금융업의 소득에 대한 종합적인 세금
금융쇼핑몰,595,vie_Latn,Trung tâm mua sắm tài chính,금융 쇼핑 센터
금융시장,796,vie_Latn,Thị trường tài chính,금융 시장
금융실명제,596,vie_Latn,Chế độ thực danh trong lĩnh vực tài chính,금융의 실명 체제
금융어음,797,vie_Latn,Hối phiếu tài chính,금융투자
금융자산,798,vie_Latn,Tài sản tài chính,금융 자산
금융장세,799,vie_Latn,Tình hình thị trường tài chính,금융시장 상황
금융지주회사,426,vie_Latn,Tập đoàn tài chính,금융 그룹
금융채,1117,vie_Latn,Trái phiếu tài chính,금융채권
금융통화운영위원회,181,vie_Latn,Ủy ban Điều hành Tài chính và Tiền tệ,금융통화운영위원회
금전신탁,800,vie_Latn,Quỹ ủy thác tiền tệ,통화신탁기금
기간구조,801,vie_Latn,Cấu trúc thời gian,시간 구조
기간물 repo,239,vie_Latn,Hợp đồng repo kỳ hạn,연장 리포 계약
기관결제제도,427,vie_Latn,Hệ thống thanh toán qua tổ chức,조직적 결제 시스템
기관투자가 결제제도,142,vie_Latn,Hệ thống thanh toán dành cho nhà đầu tư tổ chức,기관 투자자를 위한 결제 시스템
기관투자가,597,vie_Latn,Nhà đầu tư tổ chức,조직 투자자
기관화현상,598,vie_Latn,Hiện tượng thể chế hóa,제도화 현상
기대수익률,599,vie_Latn,Tỷ suất sinh lời kỳ vọng,기대 수익률
기대이론,802,vie_Latn,Lý thuyết kỳ vọng,기대 이론
기말계속예탁제도,240,vie_Latn,Chế độ lưu ký liên tục đến cuối kỳ,기간이 끝날 때까지 계속된 저장 모드
기명날인,803,vie_Latn,Chữ ký và con dấu,서명과 봉인
기명사채,804,vie_Latn,Trái phiếu có ghi tên,명칭이 있는 채권
기명주식,805,vie_Latn,Cổ phiếu ghi danh,주식 등록
기본적분석,600,vie_Latn,Phân tích cơ bản,기본적인 분석
기세,1265,vie_Latn,Sức mạnh,힘
기술적분석,601,vie_Latn,Phân tích kỹ thuật,기술 분석
기어링 레이쇼,319,vie_Latn,Tỷ số truyền,전송 비율
기업공개,806,vie_Latn,Phát hành cổ phiếu ra công chúng,주식을 공개합니다.
기업회계기준,428,vie_Latn,Tiêu chuẩn kế toán doanh nghiệp,기업 회계 표준
기준일,1118,vie_Latn,Ngày tham chiếu,참고 날짜
기채시장,807,vie_Latn,Thị trường trái phiếu chính phủ,정부 채권 시장
기초자산,808,vie_Latn,Tài sản cơ sở,기본 자산
기축통화,809,vie_Latn,Tiền tệ dự trữ,리저브 통화
기한부어음,602,vie_Latn,Hối phiếu có thời hạn,유권자의 기간
기회비용,810,vie_Latn,Chi phí cơ hội,기회비용
나스닥,1119,vie_Latn,Nasdaq,나스닥
납입자본금,603,vie_Latn,Vốn góp,기부금
납회,1266,vie_Latn,Buổi họp cuối năm,연말 회의
내부결제,811,vie_Latn,Thanh toán nội bộ,내부 결제
내부금융,812,vie_Latn,Tài chính nội bộ,국내 재무
내부수익률,604,vie_Latn,Tỷ suất sinh lời nội bộ,내부 수익률
내부유보,813,vie_Latn,Lợi nhuận giữ lại,이윤을 유지하세요
내부자거래,605,vie_Latn,Giao dịch nội gián,내부 거래
내재가치,814,vie_Latn,Giá trị nội tại,내재적 가치
누적적 우선주,320,vie_Latn,Cổ phiếu ưu đãi tích lũy,누적 증권
누적적참가우선주,241,vie_Latn,Cổ phiếu ưu đãi tích lũy,누적 증권
누적투표제,606,vie_Latn,Hệ thống bỏ phiếu tích lũy,누적 투표 시스템
뉴라운드,815,vie_Latn,New Round,뉴 라운드
뉴욕증권거래소,321,vie_Latn,Sàn Giao dịch Chứng khoán New York,뉴욕 증권거래소
니케이 평균지수,242,vie_Latn,Chỉ số trung bình Nikkei,니케이 평균 지수
다자간 차감,429,vie_Latn,Khấu trừ đa phương,다면적 마이너스
다지수모형,607,vie_Latn,Mô hình đa chỉ số,다인덱스 모델
단기금융시장 상호기금,110,vie_Latn,Quỹ tương hỗ thị trường tài chính ngắn hạn,단기 금융시장 상호펀드
단기금융시장,430,vie_Latn,Thị trường tài chính ngắn hạn,단기 금융 시장
단기채,1120,vie_Latn,Trái phiếu ngắn hạn,단기 채권
단독주주권,608,vie_Latn,Quyền của cổ đông duy nhất,유일한 주주권
단순보관연계,431,vie_Latn,Liên kết lưu trữ đơn thuần,단순 저장 링크
단순주가지수,432,vie_Latn,Chỉ số chứng khoán đơn giản,간단한 주식 지수
단순주가평균,433,vie_Latn,Giá trung bình đơn giản,간단한 평균값
단위형 투자신탁,243,vie_Latn,Quỹ đầu tư theo đơn vị,유닛별 투자펀드
단일지수모형,434,vie_Latn,Mô hình chỉ số đơn,단일 지수 모델
단주,1267,vie_Latn,Một ly,한 잔
단주매각대금,435,vie_Latn,Số tiền thu được từ việc bán cổ phần,주식 판매로 얻은 금액
담보거래,816,vie_Latn,Giao dịch có bảo đảm,거래가 보장됩니다.
담보관리제도,436,vie_Latn,Hệ thống quản lý tài sản thế chấp,모기지 자산 관리 시스템
담보물,1121,vie_Latn,Tài sản thế chấp,모기지 자산
담보부사채,609,vie_Latn,Trái phiếu có bảo đảm,유가증권은 보장됩니다
담보유가증권,437,vie_Latn,Chứng khoán đảm bảo,담보증권
담보유지비율,438,vie_Latn,Tỷ lệ duy trì tài sản thế chấp,모기지 보유율
당일결제거래,439,vie_Latn,Giao dịch thanh toán trong ngày,당일 결제 거래
당일자금,817,vie_Latn,Tiền mặt trong ngày,당일 현금
당좌대월,818,vie_Latn,Vay vượt hạn mức tài khoản vãng lai,부채가 회계수준을 넘어서면
당좌차월,819,vie_Latn,Vay qua kỳ hạn tài khoản vãng lai,이산화탄소 (이산화탄소)
대권,1268,vie_Latn,Cuộc đua vào Nhà Trắng,백악관 경쟁
대금지급보증시스템,182,vie_Latn,Hệ thống bảo lãnh thanh toán,결제 보증 시스템
대기시스템,610,vie_Latn,Hệ thống xử lý không khí,공기 처리 시스템
대량매매,820,vie_Latn,Giao dịch khối lượng lớn,대용량 거래
대량주식보유상황공시제도,73,vie_Latn,Hệ thống công bố thông tin về tình hình nắm giữ cổ phiếu với số lượng lớn,대규모 주식 보유에 대한 정보를 공개하는 시스템
대량주식소유의 제한,143,vie_Latn,Hạn chế sở hữu cổ phần với số lượng lớn,대용량의 주식을 소유하는 것을 제한합니다
대변이체시스템,322,vie_Latn,Hệ thống chuyển phân,배설물 전달 시스템
대용가격,821,vie_Latn,Giá thay thế,대안 가격
대용증거금 필요액,183,vie_Latn,Số tiền ký quỹ thay thế cần thiết,필요한 대안 보증금
대용증권,822,vie_Latn,Chứng khoán thay thế,대체 증권
대주,1269,vie_Latn,Cổ đông lớn,큰 주식
대주비율,823,vie_Latn,Tỷ lệ nợ trên vốn chủ sở hữu,소유자 자본에 대한 부채 비율
대주주,1122,vie_Latn,Cổ đông lớn,큰 주식
대차수수료,611,vie_Latn,Phí cho vay,대출금
대체거래시스템,323,vie_Latn,Hệ thống giao dịch thay thế,대체 거래 시스템
대체결제제도,440,vie_Latn,Hệ thống thanh toán thay thế,대체 결제 시스템
대체물/대체성,324,vie_Latn,Chất thay thế/Khả năng thay thế,대체물질/반응 가능성
대체비용위험,441,vie_Latn,Rủi ro chi phí thay thế,대체 비용의 위험
대표소송,824,vie_Latn,Vụ kiện đại diện,대리소송
대표채권,825,vie_Latn,Trái phiếu đại diện,대표적인 채권
대행업무 수탁계약,184,vie_Latn,Hợp đồng ủy thác dịch vụ,서비스 위탁 계약
데드크로스,612,vie_Latn,Dead Cross,데드 크로스
독일증권시장의 주가지수,74,vie_Latn,Chỉ số chứng khoán của thị trường chứng khoán Đức,독일 증권 시장의 증권 지수
동시호가,826,vie_Latn,Đấu giá đồng thời,동시에 경매
동일주주,827,vie_Latn,Cổ đông cùng một bên,주주와 함께
동증주가지수,442,vie_Latn,Chỉ số chứng khoán Dongjeong,동경 증권 지수
듀레이션,828,vie_Latn,Thời lượng,기간
등가수익률,613,vie_Latn,Tỷ suất sinh lời tương đương,동등한 수익률
등록기관,829,vie_Latn,Cơ quan đăng ký,등록 기관
등록대리인,614,vie_Latn,Đại diện đăng ký,등록 대리인
등록법인,830,vie_Latn,Tổ chức được đăng ký,등록된 단체
등록질,1123,vie_Latn,Câu hỏi đã đăng ký,등록된 질문
등록채권,831,vie_Latn,Khoản nợ đã đăng ký,등록된 채권
"등록필증, 등록필통지서",75,vie_Latn,"Giấy chứng nhận đăng ký, Thông báo đăng ký","등록 증명서, 등록 통지"
디스카운트 브로커,185,vie_Latn,Công ty môi giới chiết khấu,할인중개회사
딜러,1270,vie_Latn,Người chia bài,카드 분담자
랜덤워크가설,443,vie_Latn,Giả thuyết đi bộ ngẫu nhiên,무작위 걸음걸이 이론
랩 어카운트,444,vie_Latn,Tài khoản Lab,연구소 계좌
런던은행간 대출금리,144,vie_Latn,Lãi suất cho vay liên ngân hàng tại London,런던의 인터뱅크 대출금리
런던은행간 예금금리,145,vie_Latn,Lãi suất tiền gửi liên ngân hàng tại London,런던의 은행 간 예금 금리
레버리지 효과,325,vie_Latn,Hiệu ứng đòn bẩy,레버링 효과
마코위츠 이론,326,vie_Latn,Lý thuyết Makowitz,마코비츠 이론
마크다운,832,vie_Latn,Markdown,마크다운
마팅게일모형,445,vie_Latn,Mô hình Martingale,마틴게일 모델
만기,1271,vie_Latn,Hạn thanh toán,결제 기간
만기보유전략,446,vie_Latn,Chiến lược nắm giữ đến ngày đáo hạn,마감일까지 보유 전략
만기수익률,615,vie_Latn,Lợi suất đến hạn,유한수익
매매거래정지,447,vie_Latn,Tạm ngừng giao dịch,거래 중단
매매거래중단,448,vie_Latn,Tạm ngừng giao dịch mua bán,거래 중단
매매보고서,616,vie_Latn,Báo cáo giao dịch,거래 보고
매매상대방,617,vie_Latn,Bên giao dịch,거래자
매매심리,833,vie_Latn,Tâm lý thị trường,시장 심리학
매매입회장,618,vie_Latn,Hội trường giao dịch mua bán,거래소
매매중지장치,449,vie_Latn,Thiết bị ngắt giao dịch,거래 중단 장치
매매확인,834,vie_Latn,Xác nhận giao dịch,트랜잭션 확인
매출,1272,vie_Latn,Doanh thu,매출
멀티미디어금융시대,186,vie_Latn,Thời đại tài chính đa phương tiện,멀티미디어 금융 시대
명령상장,835,vie_Latn,Niêm yết theo lệnh,명령대로 등록하세요
명목이자율,619,vie_Latn,Lãi suất danh nghĩa,이산화탄소
명의개서 대행회사,187,vie_Latn,Công ty đại diện làm thủ tục chuyển nhượng quyền sở hữu,대표회사가 소유권 이전 절차를 수행합니다.
명의개서 정지기간,188,vie_Latn,Thời gian tạm ngừng chuyển nhượng quyền sở hữu,소유권 양도 중단 기간
명의개서,836,vie_Latn,Chuyển nhượng quyền sở hữu,소유권 이전
명의개서대리인,327,vie_Latn,Người đại diện chuyển nhượng quyền sở hữu,소유권 이전 대리인
명의개서대행업무,244,vie_Latn,Dịch vụ đại diện chuyển nhượng quyền sở hữu,소유권 이전 대리점 서비스
모기지담보부증권,245,vie_Latn,Chứng khoán được bảo đảm bằng thế chấp,증권은 담보로 보장됩니다.
모듈기업,837,vie_Latn,Doanh nghiệp sản xuất mô-đun,모듈 제조업
모집,1273,vie_Latn,Tuyển dụng,채용
모집설립,838,vie_Latn,Tuyển dụng và thành lập,채용 및 설립
무권화,1124,vie_Latn,Tự động hóa,자동화
무기명주식,620,vie_Latn,Cổ phiếu không ghi tên,이름 없는 주식
무기명채권,621,vie_Latn,Trái phiếu không ghi tên,이름 없는 채권
무담보사채,622,vie_Latn,Trái phiếu không có tài sản đảm bảo,자금이 없는 채권
무배당,1125,vie_Latn,Không chia cổ tức,배당이 없습니다.
무배주,1126,vie_Latn,Rượu không cồn,알코올 없는 술
무보증사채,623,vie_Latn,Trái phiếu không có bảo đảm,유가증권은 보장되지 않습니다.
무상증자,839,vie_Latn,Phát hành cổ phiếu miễn phí,무료 주식 발행
