ko_term,lang,term_text,back_translation_ko,similarity,len_ratio,is_short,is_dup,suspicion_score,reasons
인수,vie_Latn,Tiếp nhận,받아들여집니다,0.0,3.5,True,False,80,is_short(2글자 이하); 역번역 유사도 낮음(0.00); 길이비 이상(3.50)
잔액,tgl_Latn,Ang mga natitirang,남은 사람들은,0.0,3.5,True,False,80,is_short(2글자 이하); 역번역 유사도 낮음(0.00); 길이비 이상(3.50)
점유,mya_Mymr,သိမ်းပိုက်ထားတယ်။,점령당하고 있습니다.,0.154,5.5,True,False,80,is_short(2글자 이하); 역번역 유사도 낮음(0.15); 길이비 이상(5.50)
차주,tgl_Latn,Mag-inom ng alak.,와인을 마세요.,0.0,4.0,True,False,80,is_short(2글자 이하); 역번역 유사도 낮음(0.00); 길이비 이상(4.00)
출자,tha_Thai,การนำทุนมาลงทุน,자금을 투자합니다.,0.167,5.0,True,False,80,is_short(2글자 이하); 역번역 유사도 낮음(0.17); 길이비 이상(5.00)
가쇄,vie_Latn,Chuỗi,사슬,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
가쇄,ind_Latn,pengait,접착기,0.0,1.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
가쇄,tha_Thai,ล็อค,잠그고,0.0,1.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
가쇄,mya_Mymr,ပိတ်ပင်ခြင်း။,금지.,0.0,1.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
가쇄,tgl_Latn,Pag-iipon,축적,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
간주,vie_Latn,coi là,,0.0,1.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
간주,ind_Latn,Anggapan,가설,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
간주,mya_Mymr,ကြည့်ပါ။,보세요.,0.0,2.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
간주,tgl_Latn,Tumingin,보고,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
결산,vie_Latn,Báo cáo tài chính,재무보고서,0.0,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
결산,ind_Latn,Laporan Keuangan,재무 보고서,0.0,3.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
결산,tha_Thai,รายงานการเงิน,재무보고서,0.0,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
결산,mya_Mymr,အချိုးအစား,비율입니다.,0.0,3.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
결산,tgl_Latn,Ang pagputol,절단,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
결제시한,tha_Thai,วันสุดท้ายสำหรับการชำระเงิน,지불의 마지막 날입니다.,0.0,3.25,False,True,70,is_dup(다의어); 역번역 유사도 낮음(0.00); 길이비 이상(3.25)
결제시한,tha_Thai,วันสุดท้ายสำหรับการชำระเงิน,지불의 마지막 날입니다.,0.0,3.25,False,True,70,is_dup(다의어); 역번역 유사도 낮음(0.00); 길이비 이상(3.25)
경개,tgl_Latn,Ang buwaya.,독수리,0.0,1.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
계약,mya_Mymr,သဘောတူညီချက်။,합의입니다.,0.0,3.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
공모,vie_Latn,Cuộc thi,경연,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
공모,ind_Latn,Pengumuman,발표,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
공모,mya_Mymr,အစုလိုက်အပြုံလိုက်,덩어리덩어리,0.0,3.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
공모,tgl_Latn,Ang pakikipagtulungan,협업,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
공시,vie_Latn,Thông báo,알림,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
공시,ind_Latn,Pengumuman,발표,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
공시,tha_Thai,ประกาศสาธารณะ,공개 선언,0.286,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.29)
공시,mya_Mymr,ပွင့်လင်းမြင်သာမှု,투명성,0.0,1.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
공시,tgl_Latn,Ang pag-uusap,대화,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
공채,ind_Latn,Perekrutan Umum,일반 채용,0.286,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.29)
공채,mya_Mymr,ချေးငွေ,대출,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
구주,ind_Latn,Tuhan,"오, 하느님",0.0,3.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
국채,vie_Latn,Trái phiếu chính phủ,정부 채권,0.286,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.29)
국채,ind_Latn,Obligasi pemerintah,정부 채권,0.286,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.29)
국채,tha_Thai,พันธบัตรรัฐบาล,정부 조약,0.0,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
국채,tgl_Latn,Debate ng Estado,국가 토론,0.286,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.29)
권종,mya_Mymr,ခွင့်ပြုချက်။,허가.,0.0,1.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
권종,tgl_Latn,Pag-aakyat,등산,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
기세,vie_Latn,Sức mạnh,힘,0.0,0.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
기세,ind_Latn,semangat,정신,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
기세,tha_Thai,โมเมนตัม,모멘텀,0.0,1.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
기세,tgl_Latn,Pag-uusap,대화,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
납회,vie_Latn,Buổi họp cuối năm,연말 회의,0.286,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.29)
납회,ind_Latn,Pertemuan Akhir Tahun,연말 모임,0.0,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
납회,tgl_Latn,Ang pag-aalis,떠나는 것,0.0,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
단주,vie_Latn,Một ly,한 잔,0.0,1.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
단주,ind_Latn,Tanpa alkohol,알코올 없이,0.0,3.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
단주,tha_Thai,การงดเว้น,배제,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
대권,vie_Latn,Cuộc đua vào Nhà Trắng,백악관 경쟁,0.0,3.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
대권,tha_Thai,การเลือกตั้งประธานาธิบดี,대통령 선거,0.25,3.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.25)
대권,tgl_Latn,Ang kapangyarihan,힘,0.0,0.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
대주,ind_Latn,utang utama,주요 부채,0.286,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.29)
대주,tha_Thai,ผู้ถือหุ้นหลัก,주요 주주,0.286,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.29)
대주,mya_Mymr,မဟာမင်းကြီး။,황제님,0.0,1.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
대주,tgl_Latn,Ang mga tao.,사람들이요.,0.0,3.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
딜러,vie_Latn,Người chia bài,카드 분담자,0.0,3.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
딜러,tha_Thai,ผู้จำหน่าย,판매자,0.0,1.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
만기,vie_Latn,Hạn thanh toán,결제 기간,0.286,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.29)
만기,tha_Thai,ความสุกงอม,혼란스럽다,0.0,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
만기,mya_Mymr,ထိတွေ့မှု။,촉각입니다.,0.0,3.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
만기,tgl_Latn,Pagtuklas,발견,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
매출,ind_Latn,Pendapatan,수입,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
모집,vie_Latn,Tuyển dụng,채용,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
모집,ind_Latn,Perekrutan,채용,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
모집,tha_Thai,การรับสมัคร,신청서,0.0,1.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
모집,tgl_Latn,Pag-recruit,채용,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
배당,mya_Mymr,အချိုးအစား,비율입니다.,0.0,3.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
배당,tgl_Latn,Paghahalo,혼합,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
배서,tha_Thai,การรับรอง,인증,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
배서,tgl_Latn,Sa likuran.,뒤쪽이야,0.0,2.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
사모,ind_Latn,investasi swasta,민간 투자,0.0,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
사모,mya_Mymr,မောင်နှမ။,형제자매들,0.0,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
사모,tgl_Latn,Ang aking ina.,내 어머니.,0.0,3.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
상장,vie_Latn,Niêm yết,등록,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
상장,ind_Latn,Penawaran umum perdana,첫 공모전,0.0,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
상장,tha_Thai,รายชื่อ,목록,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
상장,mya_Mymr,မန်နေဂျာ။,매니저:,0.0,2.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
상장,tgl_Latn,Pangulo.,대통령님,0.0,2.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
상호동시거래,tha_Thai,การซื้อขายแบบพร้อมกันและร่วมกัน,함께 구매하고 공동으로 판매합니다.,0.08,3.17,False,True,70,is_dup(다의어); 역번역 유사도 낮음(0.08); 길이비 이상(3.17)
상호동시거래,tha_Thai,การซื้อขายแบบพร้อมกันและร่วมกัน,함께 구매하고 공동으로 판매합니다.,0.08,3.17,False,True,70,is_dup(다의어); 역번역 유사도 낮음(0.08); 길이비 이상(3.17)
상환,ind_Latn,Pelunasan,속죄,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
상환,mya_Mymr,ပြန်ဆပ်ပေးပါ။,갚으세요.,0.0,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
상환,tgl_Latn,Pagbabayad,결제,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
신탁,ind_Latn,Perwalian,유언장,0.0,1.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
신탁,tha_Thai,ความเชื่อมั่น,믿음,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
신탁,tgl_Latn,Magtiwala.,신뢰하세요.,0.25,3.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.25)
예탁,ind_Latn,Penitipan,유치원,0.0,1.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
예탁,mya_Mymr,ကမ်းလှမ်းချက်။,제안입니다.,0.0,3.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
예탁,tgl_Latn,Pag-uutos.,명령.,0.0,1.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
옵션,vie_Latn,Tùy chọn,선택,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
옵션,tha_Thai,ตัวเลือก,선택,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
옵션,mya_Mymr,ရွေးချယ်မှု,선택,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
옵션,tgl_Latn,Mga pagpipilian,선택 사항,0.0,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
인수,mya_Mymr,ဝယ်ယူခြင်း,구매,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
인수,tgl_Latn,Pag-aari,소유물,0.0,1.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
임치,tha_Thai,เงินฝาก,예금,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
임치,mya_Mymr,မန်ချက်စတာ,맨체스터,0.0,2.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
임치,tgl_Latn,Impiyerno,지옥,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
입금,vie_Latn,Nạp tiền,충전,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
입금,ind_Latn,Setoran,매장,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
입금,mya_Mymr,အပ်နှံမှု,헌신,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
입금,tgl_Latn,Mga deposito,매장물,0.0,1.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
잔액,tha_Thai,สมดุล,균형,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
잔액,mya_Mymr,ကျန်တဲ့ ပမာဏ,나머지 양은,0.0,3.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
점유,ind_Latn,Penguasaan,지배,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
주권,tha_Thai,อธิปไตย,아티피아,0.0,2.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
증자,vie_Latn,Tăng vốn,자본 증대,0.286,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.29)
증자,ind_Latn,Penambahan modal,자본 추가,0.286,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.29)
증자,tha_Thai,การเพิ่มทุน,자금 증대,0.286,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.29)
질권,tha_Thai,คำสัญญา,약속해,0.0,1.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
질권,tgl_Latn,Katayuan,상황,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
차감,vie_Latn,Khấu trừ,마이너스,0.0,2.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
차감,tha_Thai,การหักลดหย่อน,헐떡거리는,0.0,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
차감,mya_Mymr,အေးချမ်းမှု။,평화입니다.,0.0,3.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
차감,tgl_Latn,Ang pag-iisip.,생각입니다.,0.0,3.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
차주,vie_Latn,Chủ xe,운전자,0.0,1.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
차주,ind_Latn,pemilik kendaraan,차량 소유자,0.25,3.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.25)
차주,tha_Thai,เจ้าของรถ,차 소유자,0.286,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.29)
차주,mya_Mymr,ချိုချို။,귀여워요.,0.0,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
차환,vie_Latn,Tái cấp vốn,재자금,0.0,1.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
차환,ind_Latn,Refinancing,재금융,0.0,1.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
차환,tha_Thai,การรีไฟแนนซ์,재금융,0.0,1.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
차환,mya_Mymr,အပြောင်းအလဲပါ။,변화입니다.,0.0,3.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
차환,tgl_Latn,Pagbabago,변화,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
채권,tha_Thai,พันธบัตร,계약서,0.0,1.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
채권,mya_Mymr,ချေးငွေ,대출,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
청산,vie_Latn,Thanh toán,결제,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
청산,tha_Thai,การชำระบัญชี,청구서 지불,0.25,3.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.25)
청산,mya_Mymr,စင်ကြယ်တယ်။,순수합니다.,0.0,3.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
청산,tgl_Latn,Ang pag-aayos,정비,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
총유,vie_Latn,Tổng hợp,종합,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
총유,ind_Latn,Kepemilikan Bersama,공동 소유,0.286,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.29)
총유,tha_Thai,ทรัพย์สินร่วม,공동 재산,0.0,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
출금,vie_Latn,Rút tiền,돈을 꺼내,0.0,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
출금,ind_Latn,Penarikan,철수,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
출금,tha_Thai,การถอน,철수,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
출금,mya_Mymr,တင်သွင်းမှု,수입,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
출금,tgl_Latn,Pagpapadala,발송,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
출자,vie_Latn,Vốn góp,기부금,0.0,1.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
출자,ind_Latn,Penanaman Modal,자본 투자,0.286,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.29)
출자,mya_Mymr,ထွက်ပါ။,나가세요.,0.0,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
출자,tgl_Latn,Lumabas,밖으로 나가,0.0,3.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
콜,vie_Latn,Cuộc gọi,전화,0.0,2.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
콜,ind_Latn,Panggilan,전화,0.0,2.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
콜,tha_Thai,โทร,전화해,0.0,3.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
텀론,ind_Latn,Termon,테르몬,0.0,1.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
텀론,mya_Mymr,တူရွန်။,튀룬.,0.0,1.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
팩터,vie_Latn,Yếu tố,요인,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
팩터,ind_Latn,Faktor,요인,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
팩터,tha_Thai,ปัจจัย,요인,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
팩터,mya_Mymr,အကြောင်းရင်း။,그 이유는?,0.0,3.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
팩터,tgl_Latn,Factor,요인,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
합유,ind_Latn,campuran susu,우유 혼합물,0.25,3.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.25)
합유,tha_Thai,ผสม,섞어,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
합유,mya_Mymr,ပေါင်းစပ်ပါ။,융합하세요.,0.25,3.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.25)
합유,tgl_Latn,Magsama.,함께.,0.0,1.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
헤징,vie_Latn,Phòng ngừa rủi ro,위험 예방,0.0,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
헤징,tha_Thai,การป้องกันความเสี่ยง,위험 예방,0.0,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
헤징,tgl_Latn,Paghihigpit,제약,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
환전,ind_Latn,Penukaran mata uang,화폐 교환,0.286,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.29)
환전,tha_Thai,การแลกเปลี่ยนเงินตรา,화폐 교환,0.286,2.5,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.29)
환전,tgl_Latn,Pagbabago,변화,0.0,1.0,True,False,70,is_short(2글자 이하); 역번역 유사도 낮음(0.00)
ANNA,vie_Latn,ANNA,안나,0.0,0.5,False,True,60,is_dup(다의어); 역번역 유사도 낮음(0.00)
ANNA,vie_Latn,ANNA,안나,0.0,0.5,False,True,60,is_dup(다의어); 역번역 유사도 낮음(0.00)
ANNA,ind_Latn,ANNA,안나,0.0,0.5,False,True,60,is_dup(다의어); 역번역 유사도 낮음(0.00)
ANNA,ind_Latn,ANNA,안나,0.0,0.5,False,True,60,is_dup(다의어); 역번역 유사도 낮음(0.00)
ANNA,tha_Thai,ANNA,안나,0.0,0.5,False,True,60,is_dup(다의어); 역번역 유사도 낮음(0.00)
ANNA,tha_Thai,ANNA,안나,0.0,0.5,False,True,60,is_dup(다의어); 역번역 유사도 낮음(0.00)
ANNA,mya_Mymr,ANNA,안나,0.0,0.5,False,True,60,is_dup(다의어); 역번역 유사도 낮음(0.00)
ANNA,mya_Mymr,ANNA,안나,0.0,0.5,False,True,60,is_dup(다의어); 역번역 유사도 낮음(0.00)
ISIN,ind_Latn,ISIN,부끄러움,0.0,1.0,False,True,60,is_dup(다의어); 역번역 유사도 낮음(0.00)
ISIN,ind_Latn,ISIN,부끄러움,0.0,1.0,False,True,60,is_dup(다의어); 역번역 유사도 낮음(0.00)
결제시한,mya_Mymr,အဆုံးသတ်သွားပြီ။,끝났습니다.,0.0,1.5,False,True,60,is_dup(다의어); 역번역 유사도 낮음(0.00)
결제시한,mya_Mymr,အဆုံးသတ်သွားပြီ။,끝났습니다.,0.0,1.5,False,True,60,is_dup(다의어); 역번역 유사도 낮음(0.00)
결제시한,tgl_Latn,Nakumpleto na,다 됐어,0.0,1.0,False,True,60,is_dup(다의어); 역번역 유사도 낮음(0.00)
결제시한,tgl_Latn,Nakumpleto na,다 됐어,0.0,1.0,False,True,60,is_dup(다의어); 역번역 유사도 낮음(0.00)
결제후 업무처리,mya_Mymr,ငွေပေးချေပြီးတဲ့နောက်မှာ စီမံခန့်ခွဲမှု,"지불이 완료되면,",0.118,1.12,False,True,60,is_dup(다의어); 역번역 유사도 낮음(0.12)
