ko_term,is_short,is_dup,is_suspicious_crosslang,susp_max,eng,has_nonfinancial_sense,nonfinancial_meaning,positive_문장수
모집,Y,,Y,70.0,,Y,"일반적 의미의 '모집/모집공고'(직원 모집 등, general recruitment) — 증권법상 특정 의미보다 훨씬 흔함",1
배당,Y,,,70.0,dividend,애매,일반적 '분배/배당'의 의미로도 쓰이나 핵심 개념은 비슷,1
배서,Y,,Y,80.0,endorsement,N,,1
빅뱅,Y,,,30.0,Big Bang,Y,빅뱅(Big Bang) - 우주 대폭발 이론(천문학) - 매우 유명,1
사모,Y,,Y,80.0,private placement,Y,"'사모님'(존칭) 또는 사모(思慕, 그리워함) - 매우 흔한 일상어",1
상대매매,,Y,Y,60.0,"private sale, negotiated transaction",N,,1
상장,Y,,Y,70.0,listing,Y,상장(賞狀) - 상을 받을 때 주는 증서(award certificate) - 학교 등에서 매우 흔함,1
상호동시거래,,Y,,70.0,back-to-back transaction,N,,1
상환,Y,,Y,80.0,redemption,N,,1
신탁,Y,,Y,80.0,trust,Y,신탁(神託) - 신의 계시/오라클(divine oracle) - 그리스 신화 등에서 흔히 쓰임,1
예탁,Y,,Y,80.0,deposit,N,,1
옵션,Y,,Y,70.0,option,애매,자동차/제품의 선택 사양(추가 기능)이라는 흔한 일상 의미 - 핵심 개념('선택 가능한 것')은 비슷,1
운영위험,,Y,,40.0,operational risk,N,,1
유로,Y,,,30.0,EURO,애매,"유로(流路, 물길/통로)라는 드문 한자어 - 흔하지 않음",1
의결권대리행사 권유,,Y,Y,60.0,proxy solicitation,N,,1
인수,Y,,Y,80.0,underwriting,애매,"택배 인수, 인수인계 등 '받아서 넘겨받음'이라는 일반적 의미로 널리 쓰이나 핵심 개념은 동일",1
임치,Y,,Y,70.0,,N,,1
입금,Y,,Y,70.0,deposit,N,,1
잔액,Y,,Y,80.0,balance,N,,1
재담보,,,Y,50.0,rebalancing,N,,1
재투자수익률,,Y,,20.0,reinvestment rate of return,N,,1
점유,Y,,Y,80.0,,N,,1
주권,Y,,,70.0,stock certificate,Y,주권(主權) - 국가의 주권/자주권(national sovereignty) - 매우 흔한 정치/법률 용어,1
주주,Y,,,30.0,"shareholder, stockholder",N,,1
증자,Y,,Y,70.0,increase of capital,N,,1
질권,Y,,Y,70.0,"right of pledge, pledge",N,,1
차감,Y,,Y,70.0,netting,N,,1
차등배당,,,Y,50.0,differencial dividend,N,,1
차주,Y,,Y,80.0,borrowed stock,Y,"차주(次週, 다음 주) 또는 차주(車主, 차량 소유자) - 매우 흔한 일상어 (이전 필리핀어 파이프라인 오염 확인 사례)",1
차환,Y,,Y,70.0,"refund, refinance",N,,1
채권,Y,,,70.0,bond,N,,1
청산,Y,,Y,70.0,clearing,Y,"'과거를 청산하다'처럼 '정리하다/끝내다'는 일반적 의미로 매우 흔히 쓰임; 청산(靑山, 푸른 산)",1
총유,Y,,Y,70.0,,N,,1
출금,Y,,Y,70.0,withdrawal,N,,1
출자,Y,,Y,80.0,contribution,N,,1
출자전환,,,Y,50.0,,N,,1
콜,Y,,Y,70.0,call,Y,"전화 통화(phone call) 또는 '좋아, 콜!'(deal, 흔쾌히 동의) - 매우 흔한 일상 표현",1
텀론,Y,,Y,70.0,term loan,N,,1
팩터,Y,,Y,70.0,factor,애매,일반적 '요인/인자'(factor)라는 뜻으로도 흔히 쓰이나 관련된 의미,1
합유,Y,,Y,70.0,,N,,1
헤징,Y,,Y,70.0,hedging,N,,1
환율,Y,,,30.0,exchange rate,N,,1
환전,Y,,Y,70.0,currency exchange,N,,1
